drug_id,pdb_id,Energy,pose_file_name
r2_gen_250927,3BZ3,-11.85,r2_gen_250927_3BZ3_best_docking_pose.mol2
r2_gen_4469,3BZ3,-9.33,r2_gen_4469_3BZ3_best_docking_pose.mol2
r2_gen_289701,3BZ3,-8.67,r2_gen_289701_3BZ3_best_docking_pose.mol2
r2_gen_61488,3BZ3,-9.55,r2_gen_61488_3BZ3_best_docking_pose.mol2
r2_gen_153324,3BZ3,-9.74,r2_gen_153324_3BZ3_best_docking_pose.mol2
r2_gen_277610,3BZ3,-7.69,r2_gen_277610_3BZ3_best_docking_pose.mol2
r2_gen_241880,3BZ3,-7.73,r2_gen_241880_3BZ3_best_docking_pose.mol2
r2_gen_173903,3BZ3,-8.2,r2_gen_173903_3BZ3_best_docking_pose.mol2
r2_gen_248667,3BZ3,-9.04,r2_gen_248667_3BZ3_best_docking_pose.mol2
r2_gen_39846,3BZ3,-7.38,r2_gen_39846_3BZ3_best_docking_pose.mol2
r2_gen_14629,3BZ3,-7.64,r2_gen_14629_3BZ3_best_docking_pose.mol2
r2_gen_12711,3BZ3,-7.19,r2_gen_12711_3BZ3_best_docking_pose.mol2
r2_gen_134591,3BZ3,-7.18,r2_gen_134591_3BZ3_best_docking_pose.mol2
r2_gen_141670,3BZ3,-9.81,r2_gen_141670_3BZ3_best_docking_pose.mol2
r2_gen_235146,3BZ3,-8.43,r2_gen_235146_3BZ3_best_docking_pose.mol2
r2_gen_81511,3BZ3,-9.33,r2_gen_81511_3BZ3_best_docking_pose.mol2
r2_gen_75471,3BZ3,-8.35,r2_gen_75471_3BZ3_best_docking_pose.mol2
r2_gen_246236,3BZ3,-9.03,r2_gen_246236_3BZ3_best_docking_pose.mol2
r2_gen_232062,3BZ3,-8.84,r2_gen_232062_3BZ3_best_docking_pose.mol2
r2_gen_84035,3BZ3,-8.37,r2_gen_84035_3BZ3_best_docking_pose.mol2
r2_gen_271375,3BZ3,-8.5,r2_gen_271375_3BZ3_best_docking_pose.mol2
r2_gen_204628,3BZ3,-9.44,r2_gen_204628_3BZ3_best_docking_pose.mol2
r2_gen_54874,3BZ3,-9.81,r2_gen_54874_3BZ3_best_docking_pose.mol2
r2_gen_1922,3BZ3,-9.6,r2_gen_1922_3BZ3_best_docking_pose.mol2
r2_gen_85882,3BZ3,-9.53,r2_gen_85882_3BZ3_best_docking_pose.mol2
r2_gen_7037,3BZ3,-8.67,r2_gen_7037_3BZ3_best_docking_pose.mol2
r2_gen_153083,3BZ3,-9.84,r2_gen_153083_3BZ3_best_docking_pose.mol2
r2_gen_92003,3BZ3,-10.28,r2_gen_92003_3BZ3_best_docking_pose.mol2
r2_gen_197539,3BZ3,-9.48,r2_gen_197539_3BZ3_best_docking_pose.mol2
r2_gen_146994,3BZ3,-7.49,r2_gen_146994_3BZ3_best_docking_pose.mol2
r2_gen_186680,3BZ3,-9.05,r2_gen_186680_3BZ3_best_docking_pose.mol2
r2_gen_240773,3BZ3,-12.15,r2_gen_240773_3BZ3_best_docking_pose.mol2
r2_gen_21518,3BZ3,-10.5,r2_gen_21518_3BZ3_best_docking_pose.mol2
r2_gen_245520,3BZ3,-9.16,r2_gen_245520_3BZ3_best_docking_pose.mol2
r2_gen_38846,3BZ3,-9.86,r2_gen_38846_3BZ3_best_docking_pose.mol2
r2_gen_164485,3BZ3,-8.59,r2_gen_164485_3BZ3_best_docking_pose.mol2
r2_gen_263374,3BZ3,-8.59,r2_gen_263374_3BZ3_best_docking_pose.mol2
r2_gen_210770,3BZ3,-8.43,r2_gen_210770_3BZ3_best_docking_pose.mol2
r2_gen_237488,3BZ3,-7.98,r2_gen_237488_3BZ3_best_docking_pose.mol2
r2_gen_186553,3BZ3,-10.15,r2_gen_186553_3BZ3_best_docking_pose.mol2
r2_gen_282271,3BZ3,-7.23,r2_gen_282271_3BZ3_best_docking_pose.mol2
r2_gen_177564,3BZ3,-10.59,r2_gen_177564_3BZ3_best_docking_pose.mol2
r2_gen_79691,3BZ3,-9.4,r2_gen_79691_3BZ3_best_docking_pose.mol2
r2_gen_94251,3BZ3,-9.6,r2_gen_94251_3BZ3_best_docking_pose.mol2
r2_gen_239157,3BZ3,-8.13,r2_gen_239157_3BZ3_best_docking_pose.mol2
r2_gen_105782,3BZ3,-7.99,r2_gen_105782_3BZ3_best_docking_pose.mol2
r2_gen_287805,3BZ3,-9.14,r2_gen_287805_3BZ3_best_docking_pose.mol2
r2_gen_33626,3BZ3,-9.95,r2_gen_33626_3BZ3_best_docking_pose.mol2
r2_gen_43604,3BZ3,-7.2,r2_gen_43604_3BZ3_best_docking_pose.mol2
r2_gen_26555,3BZ3,-7.39,r2_gen_26555_3BZ3_best_docking_pose.mol2
r2_gen_214639,3BZ3,-7.34,r2_gen_214639_3BZ3_best_docking_pose.mol2
r2_gen_197979,3BZ3,-8.99,r2_gen_197979_3BZ3_best_docking_pose.mol2
r2_gen_127931,3BZ3,-8.37,r2_gen_127931_3BZ3_best_docking_pose.mol2
r2_gen_279372,3BZ3,-11.06,r2_gen_279372_3BZ3_best_docking_pose.mol2
r2_gen_177763,3BZ3,-7.91,r2_gen_177763_3BZ3_best_docking_pose.mol2
r2_gen_258543,3BZ3,0.0,r2_gen_258543_3BZ3_best_docking_pose.mol2
r2_gen_147777,3BZ3,-8.69,r2_gen_147777_3BZ3_best_docking_pose.mol2
r2_gen_96273,3BZ3,-8.59,r2_gen_96273_3BZ3_best_docking_pose.mol2
r2_gen_21801,3BZ3,-10.03,r2_gen_21801_3BZ3_best_docking_pose.mol2
r2_gen_14575,3BZ3,-9.81,r2_gen_14575_3BZ3_best_docking_pose.mol2
r2_gen_261229,3BZ3,-8.03,r2_gen_261229_3BZ3_best_docking_pose.mol2
r2_gen_181092,3BZ3,-8.5,r2_gen_181092_3BZ3_best_docking_pose.mol2
r2_gen_248204,3BZ3,-8.55,r2_gen_248204_3BZ3_best_docking_pose.mol2
r2_gen_137473,3BZ3,-6.99,r2_gen_137473_3BZ3_best_docking_pose.mol2
r2_gen_174854,3BZ3,-10.21,r2_gen_174854_3BZ3_best_docking_pose.mol2
r2_gen_211362,3BZ3,-7.67,r2_gen_211362_3BZ3_best_docking_pose.mol2
r2_gen_85261,3BZ3,-7.82,r2_gen_85261_3BZ3_best_docking_pose.mol2
r2_gen_289777,3BZ3,-9.94,r2_gen_289777_3BZ3_best_docking_pose.mol2
r2_gen_134211,3BZ3,-8.93,r2_gen_134211_3BZ3_best_docking_pose.mol2
r2_gen_265236,3BZ3,-7.54,r2_gen_265236_3BZ3_best_docking_pose.mol2
r2_gen_12290,3BZ3,-7.36,r2_gen_12290_3BZ3_best_docking_pose.mol2
r2_gen_185425,3BZ3,-9.98,r2_gen_185425_3BZ3_best_docking_pose.mol2
r2_gen_216427,3BZ3,-8.05,r2_gen_216427_3BZ3_best_docking_pose.mol2
r2_gen_91738,3BZ3,-9.72,r2_gen_91738_3BZ3_best_docking_pose.mol2
r2_gen_24443,3BZ3,-7.45,r2_gen_24443_3BZ3_best_docking_pose.mol2
r2_gen_241145,3BZ3,-10.14,r2_gen_241145_3BZ3_best_docking_pose.mol2
r2_gen_77510,3BZ3,-10.0,r2_gen_77510_3BZ3_best_docking_pose.mol2
r2_gen_262665,3BZ3,-9.48,r2_gen_262665_3BZ3_best_docking_pose.mol2
r2_gen_282112,3BZ3,-10.72,r2_gen_282112_3BZ3_best_docking_pose.mol2
r2_gen_10281,3BZ3,-10.08,r2_gen_10281_3BZ3_best_docking_pose.mol2
r2_gen_224949,3BZ3,-8.27,r2_gen_224949_3BZ3_best_docking_pose.mol2
r2_gen_37881,3BZ3,-6.81,r2_gen_37881_3BZ3_best_docking_pose.mol2
r2_gen_234134,3BZ3,-9.66,r2_gen_234134_3BZ3_best_docking_pose.mol2
r2_gen_26360,3BZ3,-8.59,r2_gen_26360_3BZ3_best_docking_pose.mol2
r2_gen_269749,3BZ3,-8.13,r2_gen_269749_3BZ3_best_docking_pose.mol2
r2_gen_204865,3BZ3,-8.79,r2_gen_204865_3BZ3_best_docking_pose.mol2
r2_gen_22596,3BZ3,-7.87,r2_gen_22596_3BZ3_best_docking_pose.mol2
r2_gen_211144,3BZ3,-9.84,r2_gen_211144_3BZ3_best_docking_pose.mol2
r2_gen_254594,3BZ3,-7.93,r2_gen_254594_3BZ3_best_docking_pose.mol2
r2_gen_35656,3BZ3,-8.69,r2_gen_35656_3BZ3_best_docking_pose.mol2
r2_gen_46847,3BZ3,-9.12,r2_gen_46847_3BZ3_best_docking_pose.mol2
r2_gen_148803,3BZ3,-7.64,r2_gen_148803_3BZ3_best_docking_pose.mol2
r2_gen_132757,3BZ3,-7.45,r2_gen_132757_3BZ3_best_docking_pose.mol2
r2_gen_111733,3BZ3,-7.64,r2_gen_111733_3BZ3_best_docking_pose.mol2
r2_gen_107255,3BZ3,-7.95,r2_gen_107255_3BZ3_best_docking_pose.mol2
r2_gen_51084,3BZ3,-10.56,r2_gen_51084_3BZ3_best_docking_pose.mol2
r2_gen_238639,3BZ3,-8.66,r2_gen_238639_3BZ3_best_docking_pose.mol2
r2_gen_46053,3BZ3,-10.2,r2_gen_46053_3BZ3_best_docking_pose.mol2
r2_gen_97564,3BZ3,-10.25,r2_gen_97564_3BZ3_best_docking_pose.mol2
r2_gen_56198,3BZ3,-10.1,r2_gen_56198_3BZ3_best_docking_pose.mol2
r2_gen_80826,3BZ3,-9.54,r2_gen_80826_3BZ3_best_docking_pose.mol2
